white_elo,black_elo,result,time_control,opening_moves
1756,1684,white,60+0,Nf3 d5 g3 Bg4 Bg2 Bxf3 Bxf3 e6 O-O Bb4
1487,1568,black,60+1,d4 d5 e3 Nf6 c3 Bg4 Qc2 e6 Bd3 Bd6
1144,1912,black,240+0,e4 c5 c4 Nc6 d3 g6 Bd2 Bg7 Bc3 Nf6
1155,1096,black,300+3,Nf3 d5 g3 Nc6 Bg2 Bg4 O-O Bxf3 Bxf3 Nf6
1258,1459,black,300+2,e4 c5 Bc4 e6 h4 Nc6 Nf3 h6 g4 d5
1781,2026,black,120+0,e4 b6 d4 Bb7 Nc3 e6 Nf3 Bb4 e5 Ne7
1245,1621,white,300+2,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Be7 O-O O-O
1313,1654,black,180+1,d4 d6 c3 g6 Bf4 Bg7 Nf3 Nc6 d5 Nb8
1398,1305,white,660+1,e4 Nf6 e5 Nd5 Bc4 e6 d4 Nc6 a3 Qh4
1080,1270,black,120+0,e4 e5 Bc4 Bc5 Nf3 Qf6 Nc3 c6 d3 h5
1500,1629,black,300+2,e3 e5 Bd3 Nf6 Bc4 d5 Bb5+ c6 Be2 Bd6
1675,1767,black,60+0,e4 a6 Bc4 b5 Bb3 Bb7 a3 Nf6 d3 d5
1537,1568,white,1200+0,e4 g6 Nf3 Bg7 Bc4 d6 d4 Nf6 Nbd2 O-O
1729,1466,white,240+0,d4 d5 Nf3 Nc6 e3 a6 Bd3 h6 O-O Nf6
1459,1398,white,360+15,e4 e5 Nf3 d6 Bc4 f5 g3 fxe4 Nh4 g5
1291,1383,white,240+4,d4 e6 d5 exd5 Qxd5 Nf6 Qe5+ Be7 Bf4 d6
1425,1371,white,120+0,e4 e6 Nf3 Nc6 Nc3 Nf6 d4 Be7 e5 Nd5
1500,1612,white,300+1,e4 e5 Bc4 Nc6 Nf3 h6 a3 Nf6 d3 Be7
1551,1310,white,180+0,e3 d5 d3 Bf5 Qe2 Nf6 f3 e5 g4 Bd7
1538,1595,white,300+0,d3 e5 e3 d6 a3 c5 h3 g6 b3 Bg7
1313,1446,black,120+0,e4 e5 Nf3 d6 Bc4 Be6 c3 Bxc4 d3 Be6
1768,1225,white,300+0,d4 d5 c4 c6 Nc3 Nf6 e3 Ne4 Nf3 b5
1662,1337,black,600+0,e4 e6 d4 d5 Nc3 c5 Nf3 Nc6 Bb5 a6
1731,1617,black,780+0,e4 d5 exd5 Nf6 Nc3 c6 dxc6 Nxc6 Nf3 Bf5
1831,1929,black,60+0,d4 e6 c4 d5 Nc3 Nf6 e3 c6 Nf3 Be7
1691,1711,black,180+0,d4 d5 e3 Nc6 Nf3 Nf6 c4 e6 Nc3 Ne7
1671,1415,white,120+0,e4 e5 Nc3 c6 f4 Qh4+ g3 Qe7 d4 exf4
1578,1765,black,300+8,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 O-O Bd6
1361,1440,black,120+0,e4 e5 Bc4 c6 Nf3 h6 d3 d6 a3 Nf6
1695,1584,black,480+0,e4 e5 Nf3 Nc6 Bb5 Nf6 Bxc6 dxc6 d3 Bc5
1710,1597,black,600+5,e4 e6 d4 d5 e5 Nc6 Nf3 Be7 Bd3 f6
1556,1305,black,180+0,e3 d5 d3 Nf6 Qe2 Bf5 f3 e6 h3 g5
1577,1478,white,60+1,e4 e5 Bc4 d6 Qf3 Nc6 Qxf7#
1363,1277,black,120+0,e4 e5 d4 exd4 c3 dxc3 Nxc3 Bc5 Bc4 Qf6
1712,1823,black,0+1,e4 c6 d3 d5 e5 e6 d4 Ne7 c3 Bd7
1399,1261,white,300+0,e4 e5 Nf3 Nc6 Bc4 a6 d3 b5 Bd5 Nd4
1852,1661,white,600+0,Nf3 d5 d4 Bg4 e3 Nc6 Be2 Nf6 Nbd2 e6
1453,1352,white,120+0,e4 e6 d4 d6 d5 exd5 exd5 Nf6 Qe2+ Be7
1427,1359,black,1800+6,d4 Nf6 c4 e5 e3 exd4 exd4 Be7 Nf3 O-O
1722,1680,white,180+0,e4 e6 Nf3 d5 exd5 Qxd5 Be2 Qd8 O-O Nf6
1411,1690,white,120+0,e4 e5 Nf3 Nc6 Nc3 Nf6 Bb5 Bb4 d3 O-O
